time,open,high,low,close,volume
1573239612942,22.564,22.638,22.554,22.655,9962.0
1573498810769,22.607,22.612,22.536,22.622,16412.0
1573585211547,22.679,22.8,22.64,22.573,4536.0
1573671612355,22.706,22.713,22.6,22.757,5152.0
1573758011420,22.732,22.77,22.695,22.713,1386.0
1573844411660,22.813,22.831,22.75,22.702,3498.0
1574103611791,22.87,22.87,22.74,22.809,2591.0
1574276411603,22.744,22.8,22.721,22.781,4444.0
1574362811504,22.678,22.728,22.64,22.779,11559.0
1574449211654,22.736,22.78,22.736,22.657,14130.0
1574708411227,22.896,23.007,22.896,22.758,1398.0
1574794810583,23.03,23.052,22.99,23.002,1192.0
1574881210882,23.142,23.175,23.142,23.052,1051.0
1574967612163,23.13,23.177,23.116,23.165,1378.0
1575054011752,23.137,23.203,23.103,23.177,1902.0
1575313216578,23.174,23.209,22.719,23.103,12086.0
1575399611260,22.787,22.81,22.462,22.734,9768.0
1575486011673,22.548,22.768,22.548,22.462,7068.0
1575572413051,22.789,22.815,22.671,22.759,5614.0
1575658812670,22.78,23.09,22.777,22.679,2838.0
1575918014229,23.03,23.044,22.987,23.09,6383.0
1576004415660,22.94,22.96,22.8,23.013,3670.0
1576090813752,22.943,23.261,22.9,22.917,2612.0
1576177211846,22.913,23.127,22.83,22.9,15917.0
1576263610631,23.071,23.156,22.961,23.028,22194.0
1576522811721,23.141,23.255,23.141,23.016,7203.0
1576609210957,23.238,23.243,23.164,23.242,4711.0
1576695612657,23.225,23.306,23.225,23.202,2509.0
1576782011116,23.278,23.341,23.259,23.291,3045.0
1576868411182,23.378,23.599,23.36,23.34,6594.0
1577127613632,23.58,23.652,23.566,23.599,2536.0
1577214011606,23.595,23.63,23.587,23.576,775.0
1577300411299,23.595,23.63,23.587,23.576,775.0
1577386812241,23.595,23.63,23.587,23.576,775.0
1577473211868,23.63,23.8,23.504,23.603,3684.0
1577732415009,23.482,23.494,23.28,23.551,2725.0
1577818812332,23.32,23.332,23.245,23.29,2867.0
1577905213965,23.32,23.332,23.245,23.29,2867.0
1577991610608,23.46,23.557,23.459,23.245,3570.0
1578078011465,23.46,23.546,23.4,23.471,2908.0
1578337210503,23.418,23.446,23.28,23.497,6676.0
1578423611946,23.564,23.605,23.498,23.445,2944.0
1578510011609,23.536,23.7,23.502,23.605,1540.0
1578596411420,23.872,23.937,23.866,23.7,4220.0
1578682811720,23.99,24.026,23.912,23.909,2119.0
1578942011134,23.874,23.926,23.845,23.912,5304.0
1579028411150,23.922,24.023,23.87,23.87,2292.0
1579114811134,23.968,23.995,23.87,23.959,1823.0
1579201210231,24.033,24.11,24.008,23.976,3152.0
1579287611312,24.208,24.333,24.208,24.089,12036.0
1579546810975,24.304,24.341,24.297,24.307,7351.0
1579633215504,24.244,24.329,24.192,24.341,3632.0
1579719611115,24.421,24.449,24.368,24.329,3624.0
1579806010859,24.304,24.362,24.22,24.384,8310.0
1579892410400,24.489,24.534,24.396,24.313,4158.0
1580151611256,24.0,24.05,23.836,24.404,9105.0
1580238011270,24.015,24.175,23.91,23.9,3842.0
1580324410943,24.225,24.304,24.167,24.175,2955.0
1580410809531,23.923,24.024,23.88,24.239,12195.0
1580497208844,24.186,24.193,23.737,23.958,5510.0
1580756410103,23.8,24.023,23.723,23.744,9841.0
1580842809119,24.056,24.304,24.056,23.887,7953.0
1580929209096,24.233,24.579,24.228,24.304,11291.0
1581015609626,24.755,24.77,24.645,24.535,6294.0
1581102009762,24.758,24.783,24.65,24.749,5654.0
1581361210169,24.695,24.86,24.639,24.774,8659.0
1581447609433,25.023,25.12,25.0,24.86,6239.0
1581534012315,25.066,25.185,25.066,25.039,5849.0
1581620408993,25.138,25.316,25.064,25.185,3035.0
1581706820213,25.37,25.395,25.277,25.316,6477.0
1581966010707,25.417,25.434,25.382,25.334,12007.0
1582052409098,25.272,25.39,25.238,25.427,6793.0
1582138811465,25.436,25.539,25.398,25.255,7329.0
1582225209864,25.531,25.531,25.228,25.539,4366.0
1582311610845,25.23,25.292,24.95,25.228,5046.0
1582570809249,24.649,24.649,24.237,25.07,38854.0
1582657209327,24.401,24.401,23.762,24.285,15378.0
1582743609887,23.542,23.789,23.095,23.849,50400.0
1582830008935,23.067,23.097,22.23,23.707,111888.0
1582916410487,21.682,21.821,21.2,22.609,92005.0
1583175610615,22.06,22.354,21.337,21.578,57885.0
1583262009834,22.599,22.846,22.1,21.958,41473.0
1583348409080,22.152,22.491,22.1,22.206,22270.0
1583434809624,22.552,22.569,22.086,22.375,50313.0
1583521230133,21.697,21.697,20.881,22.328,183514.0
1583780409475,20.5,20.5,19.2,21.247,34017.0
1583866808827,20.147,20.695,19.59,19.914,40970.0
1583953209586,20.177,20.5,19.859,19.814,40001.0
1584039609860,18.929,19.13,17.91,20.023,65857.0
1584126010364,18.903,19.409,18.3,18.429,45681.0
1584385209521,18.244,18.722,17.36,18.713,138523.0
1584471610968,18.511,19.0,17.534,18.335,21572.0
1584558009849,17.765,18.244,17.275,18.594,20555.0
1584644411161,17.79,18.502,17.54,17.87,61250.0
1584730811863,18.823,19.084,17.997,18.186,20004.0
1584990010261,16.934,18.0,16.6,18.121,34341.0
1585076410022,17.572,18.36,17.476,16.933,12920.0
1585162810104,18.589,18.893,18.1,18.36,54954.0
1585249209712,18.196,19.248,18.0,18.893,30454.0
1585335612046,19.094,19.114,18.635,19.194,170430.0
1585591209657,18.765,19.217,18.479,18.75,38623.0
1585677608891,19.606,19.628,19.239,19.217,8434.0
1585764010305,18.697,18.796,18.5,19.553,20830.0
1585850410710,18.631,18.97,18.28,18.65,13033.0
1585936830063,18.863,19.162,18.78,18.808,33155.0
1586196010787,19.531,19.689,19.446,18.845,11398.0
1586282414897,20.202,20.6,20.131,19.662,13614.0
1586368809748,19.984,20.366,19.85,20.381,41611.0
1586455213321,20.764,20.98,19.93,20.366,68105.0
1586541609317,20.764,20.98,19.93,20.366,68105.0
1586800814524,20.764,20.98,19.93,20.366,68105.0
1586887210779,20.962,21.105,20.796,20.827,38908.0
1586973610340,21.089,21.089,20.662,21.009,36177.0
1587060010653,21.035,21.082,20.715,20.734,11684.0
1587146409146,21.586,21.71,21.25,21.003,8380.0
1587405611651,21.496,21.496,21.168,21.286,8405.0
1587492009783,21.183,21.183,20.529,21.459,17199.0
1587578411707,20.765,21.028,20.745,20.544,4200.0
1587664816721,21.158,21.401,20.915,21.028,4139.0
1587751211309,21.122,21.263,21.085,21.34,6295.0
1588010409874,21.452,21.643,21.452,21.112,42359.0
1588096810220,21.661,21.936,21.6,21.643,22178.0
1588183210136,21.777,22.067,21.74,21.701,10826.0
1588269610857,22.173,22.22,21.712,22.058,12740.0
1588356009407,22.173,22.22,21.712,22.058,12740.0
1588615208905,20.974,21.134,20.842,21.712,13995.0
1588701611840,21.402,21.766,21.385,21.055,22422.0
1588788010914,21.773,21.908,21.608,21.766,6093.0
1588874411366,21.675,21.89,21.675,21.671,2438.0
1588960810499,21.987,22.007,21.85,21.885,16970.0
1589220009459,22.141,22.202,21.888,21.956,7488.0
1589306409990,21.996,22.176,21.96,22.073,4699.0
1589392811530,21.586,21.659,21.381,21.99,7153.0
1589479209646,21.269,21.345,20.943,21.395,15920.0
1589565609572,21.644,21.656,21.32,21.228,3781.0
1589824810969,21.836,22.206,21.833,21.381,51746.0
1589911210341,22.17,22.199,21.924,22.185,7225.0
1589997611316,21.943,22.15,21.908,22.118,26634.0
1590084009910,21.966,22.14,21.956,22.137,1822.0
1590170410180,21.844,22.093,21.783,21.974,2262.0
1590429614922,22.305,22.457,22.276,22.039,9083.0
1590516010987,22.571,22.574,22.37,22.456,11446.0
1590602410580,22.482,22.609,22.085,22.388,23781.0
1590688811376,22.591,22.673,22.5,22.268,45427.0
1590775210312,22.303,22.32,22.141,22.55,40587.0
1591034421751,22.437,22.445,22.227,22.141,18721.0
1591120815820,22.418,22.527,22.361,22.406,15858.0
1591207214729,22.532,22.701,22.515,22.389,17807.0
1591293610937,22.694,22.742,22.462,22.701,7971.0
1591380010311,22.555,23.206,22.555,22.507,9375.0
1591639209904,23.09,23.285,23.062,23.206,24341.0
1591725610924,23.381,23.4,23.082,23.256,9683.0
1591812021205,23.235,23.258,22.928,23.108,6724.0
1591898410390,22.619,22.619,22.148,23.015,22671.0
1591984811035,21.951,22.299,21.9,22.148,43032.0
1592244020064,21.501,21.93,21.417,22.045,13404.0
1592330411391,22.36,22.921,22.35,21.877,15546.0
1592416809990,22.747,22.925,22.725,22.7,83525.0
1592503209824,22.619,22.75,22.5,22.786,5506.0
1592589610525,22.819,22.97,22.797,22.699,13738.0
1592848809968,22.556,22.668,22.45,22.911,53973.0
1592935210758,22.676,22.83,22.66,22.568,14846.0
1593021610471,22.638,22.658,22.191,22.771,20903.0
1593108010724,22.11,22.315,22.002,22.191,23816.0
1593194411082,22.475,22.501,22.1,22.208,4978.0
1593453609251,21.979,22.162,21.842,22.11,20847.0
1593540010590,22.318,22.42,22.2,22.136,3786.0
1593626414681,22.557,22.729,22.494,22.397,3115.0
1593712809551,22.698,22.987,22.698,22.584,5217.0
1593799209750,22.902,22.91,22.733,22.893,5846.0
1594058409326,23.018,23.063,22.9,22.752,6177.0
1594144810890,22.967,23.075,22.891,23.027,6370.0
1594231210943,22.854,22.933,22.712,23.038,11230.0
1594317626777,22.862,22.945,22.6,22.745,3704.0
1594404010491,22.746,22.9,22.72,22.678,10354.0
1594663209991,23.17,23.283,23.121,22.874,1678.0
1594749613560,22.919,22.919,22.54,23.283,15623.0
1594836010724,23.095,23.225,23.011,22.773,16700.0
1594922409201,23.05,23.081,22.943,23.12,7766.0
1595008808955,23.117,23.129,22.976,22.979,1561.0
1595268009271,22.931,23.168,22.92,23.071,6932.0
1595354413092,23.372,23.5,23.3,23.168,7641.0
1595440809720,23.163,23.196,22.99,23.343,7495.0
1595527209925,23.234,23.291,23.1,23.084,3001.0
1595613609800,22.691,22.835,22.645,23.15,12894.0
1595872810266,22.583,22.625,22.468,22.69,5120.0
1595959209411,22.637,22.694,22.521,22.478,2875.0
1596045609625,22.518,22.595,22.486,22.634,5895.0
1596132009020,22.63,22.63,22.296,22.592,16433.0
1596218408822,22.483,22.62,22.37,22.489,1833.0
1596477610726,22.8,23.065,22.729,22.493,5680.0
1596564009311,22.989,23.028,22.839,23.017,2838.0
1596650410271,23.022,23.064,22.9,22.993,3639.0
1596736809333,22.946,23.109,22.935,22.933,1668.0
1596823209466,23.16,23.317,23.101,23.008,13295.0
1597082410017,23.35,23.429,23.28,23.28,14932.0
1597168809423,23.526,23.586,23.427,23.355,7592.0
1597255208894,23.45,23.499,23.36,23.531,3646.0
1597341609578,23.414,23.475,23.35,23.495,1952.0
1597428012093,23.462,23.47,23.309,23.451,1992.0
1597687220636,23.369,23.428,23.344,23.417,3143.0
1597773612344,23.319,23.378,23.2,23.39,1581.0
1597860010272,23.306,23.434,23.3,23.303,1364.0
1597946409498,23.284,23.389,23.281,23.434,689.0
1598032809788,23.433,23.642,23.433,23.376,15604.0
1598292008936,23.741,23.793,23.7,23.588,3319.0
1598378409547,23.964,23.989,23.785,23.793,2633.0
1598464810434,23.933,24.037,23.93,23.847,6060.0
1598551209956,24.142,24.365,24.089,24.015,6133.0
1598637610367,24.229,24.229,24.07,24.307,4682.0
1598896809572,24.29,24.313,24.02,24.095,14159.0
1598983218313,24.069,24.167,23.958,24.043,7779.0
1599069609525,24.442,24.641,24.442,24.117,34330.0
1599156009980,24.921,24.932,23.996,24.608,11868.0
1599242408960,23.86,24.155,23.217,24.141,21101.0
1599501609698,23.631,23.875,23.6,23.52,4487.0
1599588010348,23.933,23.941,23.35,23.866,8066.0
1599674411199,23.314,23.668,23.296,23.371,15203.0
1599760813187,23.631,23.64,23.429,23.622,7243.0
1599847216180,23.366,23.425,23.16,23.522,7737.0
1600106409156,23.442,23.515,23.32,23.259,26734.0
1600192809039,23.435,23.709,23.432,23.495,6379.0
1600279209694,23.668,23.743,23.643,23.683,3692.0
1600365610409,23.279,23.444,23.183,23.743,5216.0
1600452009659,23.296,23.394,23.097,23.382,7099.0
1600711214551,22.952,22.953,22.631,23.097,18025.0
1600797610278,22.7,23.122,22.7,22.638,3006.0
1600884009045,23.289,23.376,23.208,23.009,12509.0
1600970409589,22.809,22.972,22.7,23.208,20954.0
1601056809059,22.918,23.123,22.743,22.893,16584.0
1601316010262,23.476,23.622,23.471,23.118,5236.0
1601402408770,23.628,23.628,23.373,23.622,4407.0
